09:58:28 [main] INFO  Main - Programm start
09:58:37 [JavaFX Application Thread] INFO  SettingsScreen - Anzahl Teams: 32, Matchdauer: 5
09:58:38 [JavaFX Application Thread] INFO  TeamScreen - Turnier-Type gesetzt auf: Gruppen + KO
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 1: Mannschaft 1 gegen Mannschaft 2
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 2: Mannschaft 3 gegen Mannschaft 4
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 3: Mannschaft 1 gegen Mannschaft 3
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 4: Mannschaft 2 gegen Mannschaft 4
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 5: Mannschaft 1 gegen Mannschaft 4
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 6: Mannschaft 2 gegen Mannschaft 3
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 7: Mannschaft 5 gegen Mannschaft 6
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 8: Mannschaft 7 gegen Mannschaft 8
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 9: Mannschaft 5 gegen Mannschaft 7
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 10: Mannschaft 6 gegen Mannschaft 8
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 11: Mannschaft 5 gegen Mannschaft 8
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 12: Mannschaft 6 gegen Mannschaft 7
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 13: Mannschaft 9 gegen Mannschaft 10
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 14: Mannschaft 11 gegen Mannschaft 12
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 15: Mannschaft 9 gegen Mannschaft 11
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 16: Mannschaft 10 gegen Mannschaft 12
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 17: Mannschaft 9 gegen Mannschaft 12
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 18: Mannschaft 10 gegen Mannschaft 11
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 19: Mannschaft 13 gegen Mannschaft 14
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 20: Mannschaft 15 gegen Mannschaft 16
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 21: Mannschaft 13 gegen Mannschaft 15
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 22: Mannschaft 14 gegen Mannschaft 16
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 23: Mannschaft 13 gegen Mannschaft 16
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 24: Mannschaft 14 gegen Mannschaft 15
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 25: Mannschaft 17 gegen Mannschaft 18
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 26: Mannschaft 19 gegen Mannschaft 20
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 27: Mannschaft 17 gegen Mannschaft 19
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 28: Mannschaft 18 gegen Mannschaft 20
09:58:38 [JavaFX Application Thread] INFO  GroupScreen - Begegnung Nr. 29: Mannschaft 17 gegen Mannschaft 20
